№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
1	370	ул.Урицкого	2	07013165	2001	11.01 02:07	00040541	40541	****	****	****	****	****	****	****	****	014
2	368	ул.Урицкого	1	07013000	2001	11.01 02:05	00023177	23177	****	****	****	****	****	****	****	****	014
3	361	ул.Урицкого	14	07013043	2001	11.01 02:03	00017105	17105	****	****	****	****	****	****	****	****	014
4	371	ул.Урицкого	8	04409988	2001	11.01 01:54	00039223	39223	****	****	****	****	****	****	****	****	014
5	373	ул.Урицкого	9	03370863	2001	11.01 01:55	00045730	45730	****	****	****	****	****	****	****	****	014
6	358	ул.Урицкого	15	07013047	2002	11.01 02:12	00025830	25830	****	****	****	****	****	****	****	****	014
7	359	ул.Урицкого	13	07013046	2002	11.01 02:20	00036451	36451	****	****	****	****	****	****	****	****	014
8	14	ул.Урицкого	11	04419010	2002	11.01 02:13	00031187	31187	****	****	****	****	****	****	****	****	014
9	372	ул.Урицкого	5	07012893	2002	11.01 00:36	00038351	38351	****	****	****	****	****	****	****	****	014
10	363	ул.Урицкого	12	07013068	2003	11.01 01:59	00023880	23880	****	****	****	****	****	****	****	****	014
11	367	ул.Урицкого	6	07013030	2003	11.01 02:05	00023834	23834	****	****	****	****	****	****	****	****	014
12	369	ул.Урицкого	7	07012938	2003	11.01 01:56	00029361	29361	****	****	****	****	****	****	****	****	014
13	698	ул.Урицкого общий ТП		07953029	2003	11.01 01:54	00005458	5458	****	****	****	****	****	****	****	****	014
14	131	Пригородная	7	06244838	2002	****	****	0	****	****	****	****	****	****	****	****	030
15	783	Пригородная	9	03385071	2002	****	****	0	****	****	****	****	****	****	****	****	030
16	135	Пригородная	23	463587	2003	****	****	0	****	****	****	****	****	****	****	****	030
17	917	ул.Пионер	11а	07002035	2003	****	****	0	****	****	****	****	****	****	****	****	08
18	265	ул.Островского-27	27	03372302	2001	11.01 02:16	00011681	11681	****	****	****	****	****	****	****	****	1
19	263	ул.Островского-27	27	03372449	2002	11.01 02:04	00005307	5307	****	****	****	****	****	****	****	****	1
20	279	ул.Островского-27	27	03351945	2002	11.01 02:08	00009491	9491	****	****	****	****	****	****	****	****	1
21	913	ул.Островского-29	29	09296610	2002	10.01 15:32	00006794	6794	****	****	****	****	****	****	****	****	1
22	264	ул.Арочная-4	4	03372398	2003	11.01 02:05	00005836	5836	****	****	****	****	****	****	****	****	1
23	879	ул.Институтская-13	13	06221533	2003	11.01 01:59	00010236	10236	****	****	****	****	****	****	****	****	1004
24	901	ул.Институтская-15	15	06225652	2003	11.01 01:58	00008370	8370	****	****	****	****	****	****	****	****	1004
25	39	ул. Менжинского	9	26025965	2001	11.01 01:51	00000198	198	****	****	****	****	****	****	****	****	1006
26	38	ул. Менжинского	9	25440878	2001	11.01 01:51	00000160	160	****	****	****	****	****	****	****	****	1006
27	37	ул. Менжинского	9	23946912	2001	11.01 02:00	00000602	602	****	****	****	****	****	****	****	****	1006
28	35	ул. Менжинского	9	26025954	2001	11.01 01:55	00000177	177	****	****	****	****	****	****	****	****	1006
29	34	ул. Менжинского	9	26025929	2001	11.01 01:52	00000150	150	****	****	****	****	****	****	****	****	1006
30	36	ул. Менжинского	9	23978603	2001	11.01 01:51	00001464	1464	****	****	****	****	****	****	****	****	1006
31	604	пр.Шахтеров-85	85	06209222	2001	10.01 02:05	00006556	6556	****	****	****	****	****	****	****	****	1010
32	651	пр.Шахтеров-83а	83а	06242818	2001	10.01 02:02	00007459	7459	****	****	****	****	****	****	****	****	1010
33	652	пр.Шахтеров-83	83	06242706	2001	10.01 02:03	00007283	7283	****	****	****	****	****	****	****	****	1010
34	653	пр.Шахтеров-81	81	06242831	2001	10.01 02:02	00005594	5594	****	****	****	****	****	****	****	****	1010
35	660	пр.Шахтеров-81б	81б	06242735	2001	10.01 02:00	00003255	3255	****	****	****	****	****	****	****	****	1010
36	654	пр.Шахтеров-81б	81б	06242817	2002	10.01 01:57	00010494	10494	****	****	****	****	****	****	****	****	1010
37	523	пр.Шахтеров-85а	85а	06209269	2001	11.01 01:58	00008790	8790	****	****	****	****	****	****	****	****	1011
38	539	пр.Шахтеров-85а	85а	06232369	2001	11.01 01:57	00010308	10308	****	****	****	****	****	****	****	****	1011
39	551	пр.Шахтеров-85а	85а	06225343	2001	11.01 01:58	00015596	15596	****	****	****	****	****	****	****	****	1011
40	789	ул.Ногинская-10	10	06242993	2001	11.01 01:58	00001673	1673	****	****	****	****	****	****	****	****	1011
41	797	ул.Ногинская-10а	10а	06242821	2001	11.01 01:59	00013336	13336	****	****	****	****	****	****	****	****	1011
42	794	ул.Ногинская-10	10	06242752	2003	11.01 02:33	00006924	6924	****	****	****	****	****	****	****	****	1011
43	798	ул.Ногинская-10а	10а	06242988	2003	11.01 02:32	00010006	10006	****	****	****	****	****	****	****	****	1011
44	655	пр.Шахтеров-85а	85а	06242719	2003	11.01 02:31	00012539	12539	****	****	****	****	****	****	****	****	1011
45	998	пр. Шахтеров	103	03350133	2003	11.01 01:59	00010049	10049	****	****	****	****	****	****	****	****	1012
46	893	пр.Шахтеров-93	93	06225691	2003	11.01 02:07	00006212	6212	****	****	****	****	****	****	****	****	1013
47	894	пр.Шахтеров-93а	93а	06225676	2003	11.01 02:09	00011859	11859	****	****	****	****	****	****	****	****	1013
48	898	пр.Шахтеров-93	93	06221547	2003	11.01 02:14	00010045	10045	****	****	****	****	****	****	****	****	1013
49	902	пр.Шахтеров-93д	93д	06232420	2003	11.01 02:12	00007647	7647	****	****	****	****	****	****	****	****	1013
50	903	пр.Шахтеров-91а	91а	06232350	2003	11.01 02:08	00008103	8103	****	****	****	****	****	****	****	****	1013
51	687	ул.Авроры-4	4	07952282	2001	11.01 02:24	00010255	10255	****	****	****	****	****	****	****	****	1013
52	692	ул.Авроры-4	4	07952945	2001	11.01 02:25	00009710	9710	****	****	****	****	****	****	****	****	1013
53	101	ул. Авроры	4А	11193074	2002	11.01 02:29	00006898	6898	****	****	****	****	****	****	****	****	1013
54	100	ул. Авроры	4А	11193041	2002	11.01 02:21	00010460	10460	****	****	****	****	****	****	****	****	1013
55	851	ул. Авроры	4А	09274562	2002	11.01 02:21	00007799	7799	****	****	****	****	****	****	****	****	1013
56	683	пр.Шахтеров 95	95	07952523	2003	****	****	0	****	****	****	****	****	****	****	****	1014
57	691	пр.Шахтеров-95	95	07953000	2003	****	****	0	****	****	****	****	****	****	****	****	1014
58	895	ул.Авроры-6	6	06221536	2003	****	****	0	****	****	****	****	****	****	****	****	1014
59	896	ул.Авроры-6	6	06221550	2003	****	****	0	****	****	****	****	****	****	****	****	1014
60	897	ул.Авроры-6	6	06232349	2003	****	****	0	****	****	****	****	****	****	****	****	1014
61	10	пр.Шахтеров-97	97	00591552	2001	11.01 03:31	00012461	12461	****	****	****	****	****	****	****	****	1015
62	11	пр.Шахтеров-97	97	00591823	2001	11.01 03:29	00002702	2702	****	****	****	****	****	****	****	****	1015
63	12	пр.Шахтеров-97	97	00591555	2001	11.01 03:28	00004100	4100	****	****	****	****	****	****	****	****	1015
64	13	пр.Шахтеров-97	97	00621912	2001	11.01 03:32	00005508	5508	****	****	****	****	****	****	****	****	1015
65	106	пр.Шахтеров-99	99	10159964	2001	11.01 03:34	00009247	9247	****	****	****	****	****	****	****	****	1015
66	1	пр.Шахтеров-99	99	00591797	2001	11.01 03:32	00005562	5562	****	****	****	****	****	****	****	****	1015
67	7	пр.Шахтеров-99	99	01045418	2001	10.01 18:54	00011176	11176	****	****	****	****	****	****	****	****	1015
68	6	Предзаводская,6а	6а	01125907	2001	11.01 03:36	00038226	38226	****	****	****	****	****	****	****	****	1015
69	4	Шахтеров 99  Ввод 2 ВРУ 5 (4)		01125821	2001	11.01 03:27	00042088	42088	****	****	****	****	****	****	****	****	1015
70	3	пр.Шахтеров-99	99	00591813	2001	10.01 18:51	00005206	5206	****	****	****	****	****	****	****	****	1015
71	5	Шахтеров,99	99	01125897	2002	11.01 03:53	00047063	47063	****	****	****	****	****	****	****	****	1015
72	5	Шахтеров 97  Щит.Магазин Ввод 1 (5)		0591557	2002	11.01 03:53	00047063	47063	****	****	****	****	****	****	****	****	1015
73	8	Шахтеров,99	99	01045424	2002	11.01 03:59	00000035	35	****	****	****	****	****	****	****	****	1015
